Rank,Country,Current Account Balance 2013,Max,Min,Median,75.00%,25.00%,,,,,
1,Germany,257100000000,"$257,100,000,000.00","-$360,700,000,000.00","-$658,400,000.00","$128,220,800,000.00","-$180,679,200,000.00",,,,,
2,China,176600000000,257100000000,-360700000000,-658400000,128220800000,-180679200000,,,,,
3,Saudi Arabia,132200000000,-658400000,-360700,,,,,,,,
4,Netherlands,82900000000,,,,,,,,,,
5,Russia,74800000000,257100,2727,-118,-355.1,-658.4,-1278,-2000,-3015,-9595,-82421
6,Kuwait,69130000000,,,,,,,,,,
7,Norway,67400000000,,,,,,,,,,
8,Switzerland,65600000000,,,,,,,,,,
9,Taiwan,56660000000,,,,,,,,,,
10,Japan,56600000000,,,,,,,,,,
11,"Korea, South",55690000000,,,,,,,,,,
12,United Arab Emirates,52670000000,,,,,,,,,,
13,Singapore,52190000000,,,,,,,,,,
14,Qatar,47560000000,,,,,,,,,,
15,Sweden,39000000000,,,,,,,,,,
16,Denmark,19600000000,,,,,,,,,,
17,Macau,17010000000,,,,,,,,,,
18,Malaysia,16670000000,,,,,,,,,,
19,Nigeria,16160000000,,,,,,,,,,
20,Azerbaijan,13280000000,,,,,,,,,,
21,Iraq,12850000000,,,,,,,,,,
22,Angola,10690000000,,,,,,,,,,
23,Austria,10600000000,,,,,,,,,,
24,Hong Kong,10220000000,,,,,,,,,,
25,Vietnam,8162000000,,,,,,,,,,
26,Philippines,7512000000,,,,,,,,,,
27,Ireland,7300000000,,,,,,,,,,
28,Oman,7249000000,,,,,,,,,,
29,Algeria,6697000000,,,,,,,,,,
30,Israel,5259000000,,,,,,,,,,
31,Brunei,3977000000,,,,,,,,,,
32,Bangladesh,3541000000,,,,,,,,,,
33,Slovakia,3315000000,,,,,,,,,,
34,Venezuela,3195000000,,,,,,,,,,
35,Libya,2727000000,,,,,,,,,,
36,Luxembourg,2700000000,,,,,,,,,,
37,Timor-Leste,2375000000,,,,,,,,,,
38,Bolivia,2138000000,,,,,,,,,,
39,Spain,2100000000,,,,,,,,,,
40,Greece,2021000000,,,,,,,,,,
41,Slovenia,1977000000,,,,,,,,,,
42,Kazakhstan,1965000000,,,,,,,,,,
43,Bahrain,1907000000,,,,,,,,,,
44,Uzbekistan,1801000000,,,,,,,,,,
45,Gabon,1783000000,,,,,,,,,,
46,Hungary,1722000000,,,,,,,,,,
47,Paraguay,1376000000,,,,,,,,,,
48,Botswana,1375000000,,,,,,,,,,
49,Portugal,1000000000,,,,,,,,,,
50,"Congo, Republic of the", 638200000,,,,,,,,,,
51,Trinidad and Tobago, 414100000,,,,,,,,,,
52,British Virgin Islands, 362600000,,,,,,,,,,
53,Cuba, 289800000,,,,,,,,,,
54,Turkmenistan, 285900000,,,,,,,,,,
55,Malta, 105000000,,,,,,,,,,
56,Suriname, 102500000,,,,,,,,,,
57,Cook Islands,  26670000,,,,,,,,,,
58,Solomon Islands,  -1200000,,,,,,,,,,
59,Swaziland,  -1500000,,,,,,,,,,
60,Tuvalu,  -7700000,,,,,,,,,,
61,Palau, -20800000,,,,,,,,,,
62,Belize, -32000000,,,,,,,,,,
63,"Micronesia, Federated States of", -34300000,,,,,,,,,,
64,Kiribati, -35010000,,,,,,,,,,
65,Tonga, -43300000,,,,,,,,,,
66,Comoros, -45200000,,,,,,,,,,
67,Guinea-Bissau, -47300000,,,,,,,,,,
68,Anguilla, -54300000,,,,,,,,,,
69,Sao Tome and Principe, -59000000,,,,,,,,,,
70,Samoa, -76110000,,,,,,,,,,
71,Dominica, -91500000,,,,,,,,,,
72,Iceland,-100000000,,,,,,,,,,
73,Cabo Verde,-100000000,,,,,,,,,,
74,Vanuatu,-118000000,,,,,,,,,,
75,Saint Kitts and Nevis,-133100000,,,,,,,,,,
76,Central African Republic,-133800000,,,,,,,,,,
77,Seychelles,-140000000,,,,,,,,,,
78,"Gambia, The",-163700000,,,,,,,,,,
79,Antigua and Barbuda,-164800000,,,,,,,,,,
80,Croatia,-172700000,,,,,,,,,,
81,Bulgaria,-182300000,,,,,,,,,,
82,Saint Vincent and the Grenadines,-207700000,,,,,,,,,,
83,Eritrea,-210100000,,,,,,,,,,
84,Saint Lucia,-210200000,,,,,,,,,,
85,Grenada,-214400000,,,,,,,,,,
86,Djibouti,-219500000,,,,,,,,,,
87,Barbados,-276600000,,,,,,,,,,
88,Malawi,-280100000,,,,,,,,,,
89,Bhutan,-311600000,,,,,,,,,,
90,Estonia,-352300000,,,,,,,,,,
91,Togo,-355100000,,,,,,,,,,
92,Cyprus,-358200000,,,,,,,,,,
93,Tajikistan,-361200000,,,,,,,,,,
94,Burkina Faso,-364900000,,,,,,,,,,
95,Sierra Leone,-463300000,,,,,,,,,,
96,Macedonia,-476600000,,,,,,,,,,
97,Laos,-484300000,,,,,,,,,,
98,Fiji,-492300000,,,,,,,,,,
99,Burundi,-492500000,,,,,,,,,,
100,Moldova,-507700000,,,,,,,,,,
101,Guyana,-510700000,,,,,,,,,,
102,Lesotho,-518400000,,,,,,,,,,
103,Lithuania,-567000000,,,,,,,,,,
104,Zimbabwe,-576000000,,,,,,,,,,
105,Maldives,-600000000,,,,,,,,,,
106,Latvia,-613900000,,,,,,,,,,
107,Cote d'Ivoire,-623000000,,,,,,,,,,
108,Namibia,-658400000,,,,,,,,,,
109,Rwanda,-667900000,,,,,,,,,,
110,Benin,-699300000,,,,,,,,,,
111,Armenia,-720600000,,,,,,,,,,
112,Liberia,-742400000,,,,,,,,,,
113,Afghanistan,-743900000,,,,,,,,,,
114,Chad,-827100000,,,,,,,,,,
115,Ecuador,-827100000,,,,,,,,,,
116,Mali,-918000000,,,,,,,,,,
117,Mauritius,-1099000000,,,,,,,,,,
118,Thailand,-1117000000,,,,,,,,,,
119,Kyrgyzstan,-1125000000,,,,,,,,,,
120,Albania,-1137000000,,,,,,,,,,
121,Bosnia and Herzegovina,-1143000000,,,,,,,,,,
122,Mauritania,-1240000000,,,,,,,,,,
123,Zambia,-1250000000,,,,,,,,,,
124,Cambodia,-1262000000,,,,,,,,,,
125,Haiti,-1278000000,,,,,,,,,,
126,Nepal,-1285000000,,,,,,,,,,
127,Senegal,-1291000000,,,,,,,,,,
128,El Salvador,-1331000000,,,,,,,,,,
129,"Bahamas, The",-1372000000,,,,,,,,,,
130,Georgia,-1375000000,,,,,,,,,,
131,Niger,-1450000000,,,,,,,,,,
132,Cameroon,-1461000000,,,,,,,,,,
133,Nicaragua,-1578000000,,,,,,,,,,
134,Jamaica,-1583000000,,,,,,,,,,
135,Honduras,-1636000000,,,,,,,,,,
136,Guinea,-1754000000,,,,,,,,,,
137,Guatemala,-1822000000,,,,,,,,,,
138,Uganda,-1908000000,,,,,,,,,,
139,Montenegro,-1938000000,,,,,,,,,,
140,Madagascar,-1945000000,,,,,,,,,,
141,Sudan,-1980000000,,,,,,,,,,
142,Finland,-2000000000,,,,,,,,,,
143,West Bank,-2100000000,,,,,,,,,,
144,Romania,-2260000000,,,,,,,,,,
145,Dominican Republic,-2330000000,,,,,,,,,,
146,Pakistan,-2360000000,,,,,,,,,,
147,Argentina,-2371000000,,,,,,,,,,
148,Papua New Guinea,-2396000000,,,,,,,,,,
149,Italy,-2400000000,,,,,,,,,,
150,Sri Lanka,-2452000000,,,,,,,,,,
151,"Congo, Democratic Republic of the",-2544000000,,,,,,,,,,
152,Burma,-2596000000,,,,,,,,,,
153,Costa Rica,-2673000000,,,,,,,,,,
154,Uruguay,-2721000000,,,,,,,,,,
155,Ethiopia,-2744000000,,,,,,,,,,
156,Kosovo,-2880000000,,,,,,,,,,
157,Equatorial Guinea,-2916000000,,,,,,,,,,
158,Serbia,-2960000000,,,,,,,,,,
159,Czech Republic,-3015000000,,,,,,,,,,
160,Lebanon,-3224000000,,,,,,,,,,
161,Yemen,-3312000000,,,,,,,,,,
162,Mongolia,-3639000000,,,,,,,,,,
163,Belarus,-4245000000,,,,,,,,,,
164,Kenya,-4495000000,,,,,,,,,,
165,Tunisia,-4556000000,,,,,,,,,,
166,Jordan,-4766000000,,,,,,,,,,
167,Tanzania,-4857000000,,,,,,,,,,
168,Panama,-5064000000,,,,,,,,,,
169,Ghana,-5149000000,,,,,,,,,,
170,Syria,-5879000000,,,,,,,,,,
171,Mozambique,-5884000000,,,,,,,,,,
172,Egypt,-6035000000,,,,,,,,,,
173,New Zealand,-8358000000,,,,,,,,,,
174,Iran,-8659000000,,,,,,,,,,
175,Belgium,-9100000000,,,,,,,,,,
176,Morocco,-9595000000,,,,,,,,,,
177,Peru,-10310000000,,,,,,,,,,
178,Chile,-10970000000,,,,,,,,,,
179,Colombia,-11020000000,,,,,,,,,,
180,Poland,-11060000000,,,,,,,,,,
181,Ukraine,-11920000000,,,,,,,,,,
182,Mexico,-14180000000,,,,,,,,,,
183,South Africa,-23780000000,,,,,,,,,,
184,Indonesia,-28720000000,,,,,,,,,,
185,European Union,-34490000000,,,,,,,,,,
186,Australia,-44900000000,,,,,,,,,,
187,France,-47300000000,,,,,,,,,,
188,Turkey,-58350000000,,,,,,,,,,
189,Canada,-59500000000,,,,,,,,,,
190,India,-74790000000,,,,,,,,,,
191,Brazil,-77630000000,,,,,,,,,,
192,United Kingdom,-93600000000,,,,,,,,,,
193,United States,-360700000000,,,,,,,,,,
